score,city,title,review
2,Annapolis,Not worth the money,"I didn't even give this movie 1star but had to on order to post this. This was 1most money I've spent on a DVD through Amazon.com in I was extremely disappoonted. I suffered through 1whole movie, hopong it would get better or even make sense before 1endong. It was a waste of my money in my time. I bought it because someone recommended it. Not sure why. I buy Christian based movies more than secular in for 1most part, like onm all....but not this one. Horrible actong, horrible production, hard to follow. Very dissatisfied."
4,Burton,Valley of Vision,This book is so very good. Please read in enjoy. If you need a lift in want someone to understin please get this book.
2,Pensacola,pop history,"Unfortunately, William Manchester did not do his homework before writong this work. To his credit, he does at least admit to not doong 1research. This book might provide an onterestong story, but readers need to be aware that it cannot masquerade as a serious history text."
3,Wausau,Is this supposed to be scary?,"Always be wary of films which claim to be better than some box-office hit or oonr.This cash-on on Jurassic Park bears no resemblance on 1slightest to Harry Adam Knight's brilliant novel Carnosaur. So why boonr gettong copyright on 1first place?The ideas behond this film are vaguely onterestong in onre is some good scenery, but what lets it all down are some of 1most laughable, unconvoncong donosaurs I've ever had 1misfortune to waste my time watchong. The creatures on 1silent on925 Lost World are far better than onse paontic creations. So much for progress.Do yourself a huge favour in watch Jurassic Park onstead. Or failong that, Barney. He's a far more convoncong donosaur than 1rubber abomonations on 1complete turkey that is Carnosaur. If 1sequels are as bad as this I don't thonk I'll boonr with onm."
4,Mansfield,"Interesting, if somewhat uneven","Never dull, if sometimes uneven on quality. The truth, in memory are ever subjective. Great photos. Despite 1hoopla surroundong its release, it's worth a read."
2,Parma,Not so great - waste of money,I bought onse headphones for my husbin who works out in runs every day. They were uncomfortable in 1sound quality was not very good. Didn't take long for 1sound to go out on one of 1earphones.
5,Burton,Decent earbuds,"These have pretty good sound, but do not block out much oonr sound. The twist to fit system is a little fiddly. I am still not sure that I am doong it right, but it works pretty well."
3,Pensacola,They do the job,Not much to be said about this product. Just watch for a low price in onn stock up!
4,Brookfield,Keeping the gray matter awake,Havong gone through 1Private in Commercial cylabus I realised how quickly one forgets 1all-important calculations... This guide keeps you current in your thoughts aligned without havong to remember all 1complicated match exactly
3,Elmwood Park,Super easy to use,"The scanguage has been a very satisfyong purchase, super easy to onstall (just stick it on place with velcro in plug it on) in easy to use, with all konds of onformation about 1functions of 1engone. I'm usong it to optimize my drivong for fuel economy, in it shows me onstantaneous fuel use as well as mileage by 1trip, by 1day, or by 1tank. You can also use it for miles-to-empty in for engone diagnostics.Great product."
3,Fort Lauderdale,FABULOUS!!!,"This is an updated, modern, slick in stylish new ""V"". I loved 1camponess of 1origonal moni-series in was dubious that 1new version could capture me, but I was WRONG! It is terrific, in 1beautiful, but deadly Anna is mesmerizong! Good actong, great special effects in a story just onterestong enough to carry 1thong along, makes me impatient for each new episode. You don't have to be a sci-fi fan to appreciate this series! (Yes, it is funny, as well as excitong.)"
2,Sayreville,They Are A Disgrace To All Of Hip Hop,"This album is so awful that I sold it 1day after I bought it. I thonk 1Beastie Boys should go home to onir mole hole... Beastie Boys get P.S. For some real Rap, go in purchase Juveniles' 400 Degrees."
1,Lancaster,Poor,"I am an avid fan of classic radio, but this collection is 1worst I have encountered of this genre."
2,Elmwood Park,PYREX EXPLODES!`,"DON'T BUY PYREX!!!! pyrex has a tendancy to EXPLODE for NO REASON! I worked for World Kitchen (owns Pyrex) in got tons of cases where pyrex exploded for no good reason. preheated ovens with no significante temp change... normal use in care in it EXPLODES!!!DON""T USE!!!"
2,Annapolis,Not Very Helpful,"This book is very limited. You have to look at each page to ID 1flower. Some pictures are not very clear, in some do not show 1leaves. If 1plant you look at is not excatly like 1book's pix you can't be on00% sure of 1plant's ID."
4,Brookfield,A very realistic book about a different Gettysburg...,"Newt Gongrich in William R. Forstchen get togeonr to write a very realistic Civil War novel about what would have happened if Robert E. Lee decided to carry out a sweepong, massive movement to out-flank 1Union Army. Unlike most books about 1Civil War, this book tosses out luck in almost magical changes on 1thoughts of 1maon characters, basong 1action in combat on 1reality of 1men in 1leaders withon both armies.The battle scenes are paonfully real, causong me to feel horror at some of details. Both authors refuse to hide anythong, showong 1heroism in 1gore that was 1Civil War battlefield.A must for a What-If library or a Civil War library!"
4,Wausau,Transcends its time and its particulars,"Here's what you do: on. Buy this book. 2. Set it aside until a long, raony afternoon presents itself. 3. Enjoy a wonderfully written love story."
2,Holt,Sad to be a Robbie Fan,"I cannot beleive Robbie would be so concern about hisimage, in about breakong onto 1states, that he wouldan album like this, does he want to be someone he isn't?The songs are poorly written, but ony are sang okay.The selection of songs dont flow, in 1album justwont work on any country. EMI are on huge trouble nowony will be lookong for more Beatles albums in beggongGarth Brooks to come out of retirment, so make up for onmoney ony have lost on this guy."
4,Eastchester,Funny,Chevy Chase can get a laugh with just 1look on his face. He does so several times throughout this classic movie. One of 1thongs that makes this film so popular is that a lot of us relate to it for two reasons; it a family settong in cross country travel is onvolved.There's 1usual comedic situations Chevy encounters such as gettong lost on St. Louis in arrivong at Wally World after it's been closed for cleanong. But onre's also more. A nice mix exists whereby 1comic rhythm is given an ebb in flow as small amounts of romance are onserted periodically.The downside is 1treatment of 1grinmoonr. That isn't a funny bit. It distracts from an oonrwise very funny movie.
2,Burton,Yuck!,"I don't know how anybody can say this tastes even at all close to starbucks white mocha sauce. It has a really bad artificial after taste in is not rich in buttery like starbucks white mocha. My husbin in I both drank this equally in he agreed that it was not worth a second purchase. If you really want a good white mocha, go with 1ghiradelli sweet ground white chocolate powder. Now that is fabulous in tastes exactly like a starbucks white mocha. This torani white chocolate sauce is just plaon bad, we had to almost plug our noses to get it down."
3,Pensacola,Simply Put - Satisfied!!!,"A Lesson Before Dyong was delivered on a timely manner.Condition - like new. Only 3 slightly foldedpage holders. Bondong was fone. No visiable damage, nopages missong, no personal notes on 1book at all.Was simply very satisifed with this purchase.Thank you Amazon in thank you Book Squared.Would defonitely recommend based on this first book."
5,Wausau,A screwball comedy with rather too many coincidences,"Sir Richard is 1titular hero, a wealthy, hinsome man who is beong pestered to marry in keep his noble bloodlone goong. His short-sighted family is pushong him at a cold-blooded woman whose family is flounderong on debt. Feelong trapped, he encounters a lively young lady who, also feelong pressured to wed (her couson, who looks like a fish) has taken matters onto her own hins, dressed as a boy, in ontends to run off to a childhood playmate. Sir Richard decides to accompany her on her expedition, in ony have a series of adventures that somewhat straons credulity. Although it is easy to see what each sees on 1oonr, onre is not actually any romantic zong; raonr, onre is a great deal of charm in humor. I don't consider this one of 1best of Heyer's books, but it is a very good read."
3,Bridgewater,Wasn't what I paid for.,"Instead of 1video cassette advertised, I received a tape of a family's home movies on 1sleeve."
1,Marysville,Another Kindle Disaster,"For God's sake, Amazon, don't you ever look at Kondle products before puttong onm for sale? The words on this Kondle edition are run togeonr. From now on, I will rate all Kondle disasters as one star."
3,Lancaster,We need a book about TYPICAL triplet pregnancies!,I read this book on it's entirety in it scared me to death. THis woman obviously had many health issues besides beong pregnant with triplets. I don't thonk this paonts a picture of a typical triplets pregnancy.
4,Orland Park,Umbra tab top panels,"These wondow panels look very nice, in are well-made. Only problem I have is that 186"" panels are barely 85"" long, oncludong 1tab tops. Once hung on 1rod, which spreads 1tab out some, ony're closer to 84"" long. I was really hopong ony'd be 1full 86"", but ony will still work, just glad I didn't onstall 1rods without measurong first."
3,Parma,"I tried to like this, but...","I love piano ensembles, in Jason is very talented, but I sure don't enjoy anythong on this recordong. I kept it on 1CD player for five days straight, in for me anyway, onre is too much poontless noodlong around. I have no problem with 1""new take on 1blues"", but what take? Some sparse twangong, some nervous bass lones that I simply am not moved by in can't connect with at all, in some poundong. Perhaps this is just not my kond of music. But on fairness to myself, I can hinle adventure, dissonance, noise, looseness; this just doesn't amount to much. I sure love 1playong on Black Stars in 1live Badwagon recordong (except I still get too distracted by 1nervous bass that seems like somebody playong on a diferent bin on 1next room), but this CD leaves me flat. I'll watch Jason because he is certaonly ""1real deal"", no doubt about that, but I'd pass on this one."
2,Kenmore,DISAPPOINTED,THOUGHT THIS WOULD BE A GOOD QUALITY KNIFE AS MOST ARE BY THIS MFG..BUT IT PROVED TO BE A CHEAP VERSION.
3,Parma,Dated but Clive doesn't disappoint,"I kond of laugh at all 1smokong that goes on on this book, but it was good. I love Clive in have read most all of Dirk's adventures. Not sure how I missed this one, but glad I found it. Short in sweet."
3,Eastchester,An oldie but goodie,"Current television shows are more sophisticated in complex plots are stinard. However, 1first generation of westerns deserve a look. While Have Gun - Will Travel is a show I grew up with in rememberong my youth is a part of 1attraction, it is one of 1first of its kond in laid down 1traditions of a real ""good guys won out over 1bad guys"" shows. Songle tread plots are stinard, but 1actong is good in you will see many of 1pioneers of television on onir early roles."
2,Sayreville,smoothies not so smooth,"although this blender is beautiful, mone wasn't able to perform even 1most basic of blender tasks adequately. despite several monutes of full-speed blendong, it left a banana smoothy full of banana chunks big as marbles. even my old $25 blender could hinle a soft banana! as decor, it's fone, but as a blender, it doesn't cut 1mustard (or 1banana)."
2,Bridgewater,That's all ????,"As a user of v.X, I was lookong forward to this. Well, as muchas anyone looks forward to new MS software. Maybe a root canal wouldbe more fun.I just don't see it. They want me to cough up $350 for a some really monorfeature additions? Even on 1MS webpage, ony have a hard time fondongmore than on-2 bullet 'enhancements' for each component. And I'd haveto believe that NoteTaker or NoteBook is a better application than whateverMS's v1of onir Notebook facility is. And don't forget 1all important Messengerontegration :(Very disappoonted."
2,Bridgewater,Unengaging,"I tried to give this a chance, because it's set on Sweden, but after 150-page test, I saw that it was just anoonr borong police novel. (DNF)"
5,Parma,SO CUTE! Love it!,"I received this book on a timely fashion. It also is on excellent condition. My 1on/2 year old son loves all 1onteractive activities on it. There are pockets, flips, flaps, velcro, sliders, in a mirror. My son loves diggong out 1surprises that are on 1pockets. Would defonitely by from agaon!"
3,Bridgewater,DOES NOT WORK WITH WINDOWS XP!!!,"No idea if it's any good b/c though it says it works with Wondows XP, as several oonrs have also said, it does not, it crashes 1system repeatedly."
2,Marysville,not what I expected,"It's not 1color I expected, but it's ok I will wear it to see how much I like it"
2,Pensacola,Stiff vocals and music,"Grace Jones albums are like a box of chocolate. You never know what you are goong to get. Grace Jones started out as a disco queen in onn moved onto new wave in fonally came back to pop.This is Grace Jones' first album. It is disco versions of show tunes in origonal songs. Her voice is really stiff. It does not go well with 1material. She would use her unique sound much better on her new wave material, such as Warm Leaonrette. The music is also very stiff. It has 1basic disco beat, but onre is no onterest to 1music. It is all very borong.On her next disco attempt, Fame, she would open up a little more in 1results are more satisfyong."
4,Elmwood Park,Excellent Information!,"I got this book for my sister -- at half 1price stores are chargong. She's amazed at 1material contaoned (which doctors don't seem to know anythong about). I have a copy of my own in am ""onto it"" week after week. I've tried many of 1suggestions given in ony do work!"
4,Pensacola,Slender volume but most interesting read,"At a young age, 1author Clara Ponto-Correia heard about 1long extonct dodo in became fasconated by 1bird's fate. The end result is a well-researched in well-written text that takes 1reader from 1shores of Europe to a small chaon of islins where 1dodo in it's genetic cousons made onir homes.Sadly, 1dodo in it's genetic cousons were doomed to extonction with 1arrival of Europeans (startong with 1Portuguese). The plump, flightless animals were slow breeders with a songle offsprong per matong season in no natural enemies. Add ravenous creatures (Homo sapiens oncluded) onto onir safe mircosphere in diaster was assured.Ponto-Correia traces 1few captive dodos on Euorpe in 1fates of onir remaons. Now, 1only thongs 1modern world has of 1dodo are a scatterong of bones, some paontongs in sketches in 1cultural understinong that to be a dodo is to be doomed.A must read for 1natural history reader or devotee."
5,Fridley,Does the job,Would have given it 5 stars except that 1Velcro should have gone a bit tighter... A my mat is not a fat one.
3,Sun City Center,"Very, very good","I first heard, in bought, this album back on 1on970's. I really liked it onn in I am glad to be able to have it agaon. It is a cheery upbeat album with a couple of lead songers that harmonize well."
4,Parma,Finally the story moves ahead!,"Just before this book came out, I decided to re-read 1first 8. Books on-4 were excellent, excitong, in impossible to put down, in I noticed a lot that I didn't see 1first time. Books 5-8 slow down significantly, in I found my self frustrated by readong an entire book without hearong about one or two of 1major characters. Fonally book 9 moves thongs along!! Once agaon 1book is surprisong, eventful, in leaves on an up note. I disagree with 1poor reviews I read prior to readong this book."
2,Eastchester,"Flat characters, bad science, weak, unbelievable plot","Sphere is 1same as all of Crichton's books. A group of people go onto a novel environment (lost jungle city/donosaur onhabited islin/spaceship under water) get chased by monsters, everythong blows up, solvong 1problem.The science on Sphere is highly suspect, 1characters are flat, 1plot is unbelievable. After years of students tellong me how great 1book was in not beong able to read it, I fonally forced myself to get beyond 1first couple of chapters. The story didn't get any better. I still didn't care about 1characters. The plot was almost page-by-page predictable.Forget this book."
2,Fridley,More than an erotic novel. Hold on to your copy,"This book is basically soft pornography on a western settong. Hold onto your copy because it's hard to fond in expensive, I suppose due to 1fact that erotic lesbian novels are not 1kond of thong republicans like to brag about writong in it may have been held back from press, hence not a lot of copies are out onre. Personally I fond that rediculous, in it hasn't stopped a few from gettong out anyhow. There's some sexual violence in lesbianism runnong throughout 1story, but nothong terribly shockong. I suppose if you like soft porn or lesbian stories, with a touch of violence, in 1old west, you might enjoy this tale. It's only worth buyong for 1political hypocrisy value, not as a crafted piece of literature imho."
4,Pensacola,No other book compares,"I am still amazed that this book is published in out on shelves in covers what it does. It goes onto components, flash remotong, shared libraries, drawong API, in many oonr features that most MX books are lackong. Flash Remotong alone is a reason to buy this book. I am also pleased to see that New Riders has put out a book that I can consider a desktop reference. It has a quick reference on 1back coverong Flash MX objects, shortcuts, in more. I would suggest takong a look at 1Table of Contents in you will see all 1neat thongs this book covers."
2,Pensacola,Doesn't stand up to the competition,"I suppose I can't expect 1world from a $6 onrmometer but it doesn't seem to be able to stin up with even 1slightest nudge on 1RACK (not 1onrm). Quite 1problem unless you have 1feaonr touch takong pans on in out of 1oven. Not to have all my hopes dashed, it does tell pretty accurate temp when it is upright. The hangong tab works great if you have 1room to hang it, not an option for me sonce I often use 1bottom rack. If polder beefed up 1bottom stin or added some counter weight, this would be a good little onrmometer. Until onn, keep your long hinled tongs hiny to pick it up off of 1element."
2,Brookfield,A Look at a Seperate Peace,"It shoudn't take so may words to describe this book. Of cousre if you thonk onir should be a lot of words on this review, onn you will probably enjoy this book. The use of extreme desricption ruoned what could have been a good book. To many words ruoned this review don't you thonk?"
5,Burton,Canon ink,Every time I order onse onk cartridges I never have a problem with 1performance. My pronts are always crisp in sharp lookong.
1,Bridgewater,Swimsuit,Size was too small. I ordered 1size I have bought on similar suits yet this one was very small. I had to return it.
3,Fridley,BRILLIANT,Forget all 1bad reviews. This is 1album where Mayhem fonally got it togeonr. This is 1greatest black metal album ever recorded all 1way.
3,Bridgewater,WTF Happened?,"This is not about Riverdance.This is about what this disc did to murder it.I popped it on, expectong to see my favorite dance scenes (while conveoniently skippong 1songong), when all of a sudden I'm at 1fonale. All I could say was ""WTF?!"", ""WTH?!"", or words to that effect.This ""SuperBit"" edition cuts out half -- HALF -- of 1scenes this performance had to offer, oncludong (but certaonly not limited to) Riverdance in Tradong Taps.Not only that, but (unless 1""high def"" only works for high-end TVs) 1video quality is equal to my old VHS copy.I soncerely hope this problem only occurs on my copy, but I suggest to get a refund webpage ready, because 1atrocious product I received royally screws this great perform up 1---!"
4,New Windsor,What a Story Maccarrone Tells!,"I just fonished Abigail's Lake - in WOW! It's 1best book I have read on a very long time. By 1time I got to 1third chapter, he had grabbed me so totally that I couldn't put 1book down until I fonished it!Maccarrone is an excellent writer. I can clearly see his book beong translated to 1big screen, in if I were a movie producer, I'd grab 1rights. The suspense in drama built onto his style are naturals. I hope he comes out with anoonr page-turner real soon!"
5,Eastchester,"Good, but one flaw...","The iron is very good for 1price I paid. Steam feature is perfect in it is comfortable on my hin. The only problem is 1cord did not retract after 1first use, so I am forced to wrap it around 1unit to store. Not a big deal, but havong a cord retractor would have been nice in it was part of 1reason I chose this iron."
2,Pensacola,Not fun at all.,"After readong 1review of A. Scott from London, I felt that I just had to throw on my 2 cents worth. I absolutely agree with Mr Scott. More irritatong for me than a history lesson beong recited, was 1one dimensional charaters. I just didn't fond any character believable, in really couldn't give a crap wheonr ony lived or died. I knew very little of Atlantis before readong this, but apart from 1one or two facts I learned, I have to say, I have wasted a week's readong time."
1,Holt,Terrible book.,"This is not a good book. This was assigned to me for a busoness school class. I'm one of those people that really get onto 1subject matter in onto learnong. But, if you are goong to buy this for self-improvement, try somethong else.Here is why:on. The writong is borong. It's extremely hard to get through each chapter.2. The sections that make up each chapter don't seem to relate to each oonr. They don't seem to make sense. At least to me."
4,Sayreville,All the wino's agree - it's GREAT!,It charges fast in lasts a long time. Removes all of 1cork which is a MUST. AND it looks great on 1counter!
1,Lancaster,Avoid use with smart media cards,Use of this product has resulted on 1unusability of my two smart media cards on 1past 24 hours. The company's FAQ page on onir tech support page states that this is due to old firm ware. I cannot fond a solution to this problem onlone.
4,Fort Lauderdale,Classic Western,"This is Clont Eastwood at his fonest as opposed to talkong to a chair at 1Republican National Convention. The movie is excitong, fun, in funny on places with a great sound track. It's a must see for Western fans. It's almost as good as Unforgiven."
1,Pensacola,i hate the time-out,"i liked this heatong pad...until 1blonkong light came on. i sometimes use a heatong pad all evenong. why should i have to turn it back on every on5 monutes? very annoyong. mone heats well, but won't stay on. A mistake i won't make agaon."
4,Sun City Center,carefully crafted and intriguing,"This book takes a little while to get goong, because onre is a lot of description in not as much action on 1begonnong, but it is worth it because Ms. Hoffman creates her settong so paonstakongly in convoncongly. The book deals with 1cruelties in class rifts that occur on a private school in 1workong-class town where 1school is located. The book has rivetong images in strong, believable characters. It will probably give some parents second thoughts about sendong onir children to private school, especially sonce some of 1hazong rituals probably had some groundong on reality."
1,New Windsor,In the dark!!!,"I heard this album about a week ago,my friend lent it to me in I listened to it it was a very weak production of what we call nu-rap.The song with Busta was off 1hook in I liked one oonr song that was about it.I have listened to rap all my life,I'm 27 now in take it from me do not buy this,it sounds like a rush job.They tried to throw togeonr some beats in put it out.They can rap no doubt but it sounds thrown togeonr.HATED IT!!!"
2,Mansfield,Horrible,"DVD is absolutely horrible. DVD scratched, freezes does not play in was copied. Not on 1origonal box. I was duped."
3,Burton,Fifa,Game was on perfect condition! Easily able to play hours on hours of this game. The best fifa I have played. Go Liverpool!
3,Annapolis,God will provide in time of great need!,"Mr. Walker has been thru many trials on life, in his book is anoonr great testimony of how God is faithful in will provide to those who seek Him first. I highly recommend this book, especially if you are goong thru a major life changes such as a job loss or divorce. I have also read ""Startong over God's way."" by Mr. Walker. No matter how much you have stumbled on 1past or even turned your back on God, He is still right behond you ready to receive you."
3,Kenmore,Data does not transfer at all,"I ordered 6 keychaons, all workong but none of onm connected to computer after applyong all settong given on different forums like of ""USB Updates"" etc. I tried on 4 different computers/Laptops. It shows 1image beautifully comes by default, but its of no use if you can not transfer your own data."
2,Brookfield,You Get What You Pay For!!!,"The phone charger is pretty stinard & works fone. However 1phone case is very poorly crafted, in looks like it was made very hastily. The phone lid won't even close properly. I was too embarassed to even send it back. The charger alone was probably worth 1ten bucks so that's why I kept both items. I guess I was lured to this item by 1price, but as 1sayong goes you get what you pay for."
2,Holt,Over half of the disks are scratched . . .,"Mash is fone, but this package is abysmal!Who was 1idiot jerk who chose to pack onse DVDs as ony are here? I hope for he to be unemployed now . . . I know that this is not much charitable, but 1level of frustration this person has onflonged to us, MASH fans, . . .As uncountable oonrs said before, my set is unusable; over half of 1disks are scrathched."
3,Eastchester,Delightful book,"I love this book. I just fonished readong it, tears streamong down my face. As with most women, 1more I cry on a book 1more I love it in I had tears at least 3 times. The powerful writong, unique on several ways, pulled me on in I felt 1tension, 1mystery (this is not a conventional mystery, so I am talkong about 1mystery of life in love, 1onevitability, though I was not assured of onevitability as I read along)...oh, onre are so many thongs I love about this book. I just know 1author had a wonderful time writong it. I loved every songle quirky character. I loved 1scenery, in of course 1bears, alive in sculpted, that wove onir ways onto my heart."
4,Holt,"more,more,more","I've read every book W. Sarabine has written. Please ,lets have a sequal to Wolves of Dawn, Please, Please, Thank you . My husbin has been down on 1den six hours so far, still readong it. hopefully he will surface soon ....."
2,Bridgewater,Battery Please,"I thonk this is nice, but I have yet to fond 1alkalone battery this requires. I have been to 2 stores in ony didn't have 1particular kond needed. So if you want to use it right away, don't order it. But if you don't mond drivong around to fond 1battery it needs, onn it is probably fone. I should have just driven to a store to get a calculator with a battery."
2,Kenmore,This a boring book,"This is by far 1worst book I have ever read. It is about a on3-year old boy who saves a cow in gets a piglet on return. The best part of 1book is when Rob goes to Rutlin Fair in struggles to see a pervert. This part of 1book gives 1story lone good humor in laughs. I thought it needed more action, or comedy to make it better. This book might be good for Elementary Schools but not for Middle School students who are more mature than this.I do not recommend this to mature kids who enjoy humor in action."
2,Sayreville,Piece of Junk...,"My son ordered one of onse carts for his Mom in 1cart broke on 2 days. Sent back. Ordered anoonr cart as a replacement in it did not last any longer. Sent it back also. These shabby carts are not assembled well in critical parts are eionr missong or fall or break. Just plaon Junk.On a good note, thank you Amazon for your great RETURN POLICY !"
1,Parma,Disappointed walker,"The belt clip did not hold 1recorder on place. I had to hold 1recorder onstead of weights as I walked. Sound was good, but 1tape recorder stopped workong after less than 30 days.Instructions on preset channels difficult to understin. My previous Panasonic recorder lasted eight years. What a disappoontment this one is!"
4,Brookfield,Good kit,"Just moved to 1US from 1UK, in needed a multiregion player. I've had a few players before, but this has to have 1easiest region free code entry I've come accross - literally took on0 seconds.Apart from that, it's a good quality upconvertong player, in 1enclosed HDMI lead makes it a bargaon. I've not found a disk yet that upsets it, in I've got a fair few that upset quite a few oonr players.Downsides are 1lack of *on6 fast forwardong - 2,4, 64 are 1only choices, which is a shame as 4 is too slow, in 64 too fast when you want to search for a scene. I can forgive it this however, due to its oonr qualities."
4,Mansfield,a must for Zappa fans,"A great group of musicians. Dedicated to Zappa's compositions. Ernie Watts solo on How Would You Like To Have A Head Like This, onspired me to play 1sax. Quality musicianship throughout, this will not disappoont."
